,method,value_error,num_rollouts,vf,level_one_children,level_two_children,k,exp
2874,PW0.1,0.9191543475268089,500,Relu,2,4,1,0.1
2875,PW0.3,0.09508309109601143,500,Relu,7,26,1,0.3
2876,PW0.5,0.02012730762871273,500,Relu,23,114,1,0.5
2877,PW0.7,0.21529429947804513,500,Relu,78,285,1,0.7
2878,PW0.9,0.912237970762769,500,Relu,269,230,1,0.9
2879,AR,0.05907374565215395,500,Relu,1,499,1,0.1
2880,PW0.1,0.009869293417086755,10,Relu,2,4,1,0.1
2881,PW0.3,0.0929882579821828,10,Relu,2,4,1,0.3
2882,PW0.5,0.427643506221449,10,Relu,4,6,1,0.5
2883,PW0.7,0.023155745561093566,10,Relu,6,4,1,0.7
2884,PW0.9,0.5367525595014306,10,Relu,8,2,1,0.9
2885,AR,0.0048821345319400855,10,Relu,1,9,1,0.1
2886,PW0.1,0.38294737546089186,20,Relu,2,4,1,0.1
2887,PW0.3,0.6464808934286863,20,Relu,3,6,1,0.3
2888,PW0.5,0.276374996993874,20,Relu,5,12,1,0.5
2889,PW0.7,0.3575385048308981,20,Relu,9,11,1,0.7
2890,PW0.9,0.4691509717407336,20,Relu,15,5,1,0.9
2891,AR,0.482522302397437,20,Relu,1,19,1,0.1
2892,PW0.1,0.605050627042856,50,Relu,2,4,1,0.1
2893,PW0.3,0.47105354282456946,50,Relu,4,11,1,0.3
2894,PW0.5,0.060658569903194515,50,Relu,8,22,1,0.5
2895,PW0.7,0.01945839084964862,50,Relu,16,30,1,0.7
2896,PW0.9,0.283484062450136,50,Relu,34,16,1,0.9
2897,AR,0.1447118648794541,50,Relu,1,49,1,0.1
2898,PW0.1,0.7369553237039193,100,Relu,2,4,1,0.1
2899,PW0.3,0.09234613757938148,100,Relu,4,12,1,0.3
2900,PW0.5,0.5745430555465192,100,Relu,11,36,1,0.5
2901,PW0.7,0.18644284796998467,100,Relu,26,62,1,0.7
2902,PW0.9,0.39853439576772853,100,Relu,64,36,1,0.9
2903,AR,0.018658260608001465,100,Relu,1,99,1,0.1
2904,PW0.1,0.39847126858109183,200,Relu,2,4,1,0.1
2905,PW0.3,0.2260013657686235,200,Relu,5,18,1,0.3
